name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage

#Ambiance
ambient_mp_dumont,,ambient/amb_france02_int.mp3,0.63,,,,,,,local,streamed,,looping,,mp_dumont

#radio3
radio3,,amb_emitters/emt_radio_loop_1c.wav,0.6,,,,,20,300,voice,,,looping,

#dog1
dumontdog1,,amb_elements/elm_dog10.wav,0.6,,,,,20,340,voice,,,looping,

#flies
dumontflies,,amb_emitters/emt_fly_loop3.wav,0.6,,,,,20,300,voice,,,looping,

#bomber
dumontflyby,,vehicles/c47_flyby03.wav,0.9,1,,,,80,900,,,,,,mp_dumont

#bomber2
dumontflyby2,,vehicles/c47_flyby02.wav,0.9,1,,,,80,900,,,,,,mp_dumont

#bomber3
dumontflyby3,,vehicles/c47_flyby04.wav,0.9,1,,,,80,900,,,,,,mp_dumont

#truckstopping
dumonttruck,,vehicles/truck_brakesqueal.wav,0.9,1,,,,80,900,,,,,,mp_dumont

#dumontarty
dumontarty,,Explosions/mrk_artillery_fireworks_B2.wav,0.9,1,,,,80,900,,,,,,mp_dumont


